Trial Num; Current Trial; Time Spent on Trial (ms); # of MisClicks; Mouse Movement (pix); Difficulty Index (bits)
1; [64, 512, 1]; 94; 0; 481; 3.0
2; [32, 512, -1]; 80; 0; 532; 4.0
3; [32, 128, -1]; 67; 0; 138; 2.0
4; [16, 512, 1]; 112; 0; 504; 5.0
5; [16, 128, -1]; 70; 0; 136; 3.0
6; [64, 128, -1]; 44; 0; 155; 1.0
7; [64, 128, 1]; 44; 0; 94; 1.0
8; [32, 512, 1]; 67; 0; 509; 4.0
9; [16, 512, -1]; 138; 1; 527; 5.0
10; [16, 128, 1]; 78; 0; 129; 3.0
11; [32, 128, 1]; 58; 0; 113; 2.0
12; [64, 512, -1]; 85; 0; 484; 3.0
13; [64, 128, -1]; 64; 0; 108; 1.0
14; [32, 512, 1]; 74; 0; 506; 4.0
15; [16, 128, -1]; 963; 1; 130; 3.0
16; [16, 128, 1]; 74; 0; 135; 3.0
17; [32, 128, -1]; 54; 0; 125; 2.0
18; [32, 512, -1]; 81; 0; 519; 4.0
19; [16, 512, -1]; 87; 0; 528; 5.0
20; [16, 512, 1]; 87; 0; 503; 5.0
21; [32, 128, 1]; 87; 1; 109; 2.0
22; [64, 512, -1]; 67; 0; 508; 3.0
23; [64, 128, 1]; 50; 0; 125; 1.0
24; [64, 512, 1]; 61; 0; 507; 3.0
25; [64, 512, 1]; 64; 0; 499; 3.0
26; [64, 128, -1]; 54; 0; 167; 1.0
27; [16, 128, 1]; 58; 0; 117; 3.0
28; [16, 512, -1]; 81; 0; 522; 5.0
29; [16, 128, -1]; 84; 0; 142; 3.0
30; [32, 128, 1]; 44; 0; 130; 2.0
31; [64, 128, 1]; 44; 0; 107; 1.0
32; [32, 512, -1]; 74; 0; 506; 4.0
33; [16, 512, 1]; 87; 0; 516; 5.0
34; [32, 128, -1]; 40; 0; 151; 2.0
35; [32, 512, 1]; 74; 0; 513; 4.0
36; [64, 512, -1]; 64; 0; 517; 3.0
37; [32, 512, 1]; 81; 0; 515; 4.0
38; [16, 128, 1]; 411; 1; 123; 3.0
39; [16, 128, -1]; 70; 0; 137; 3.0
40; [32, 128, -1]; 61; 0; 152; 2.0
41; [64, 128, -1]; 51; 0; 141; 1.0
42; [64, 512, -1]; 74; 0; 532; 3.0
43; [32, 128, 1]; 63; 0; 147; 2.0
44; [32, 512, -1]; 78; 0; 501; 4.0
45; [16, 512, -1]; 118; 0; 519; 5.0
46; [16, 512, 1]; 122; 0; 496; 5.0
47; [64, 128, 1]; 68; 0; 135; 1.0
48; [64, 512, 1]; 71; 0; 505; 3.0
49; [64, 512, 1]; 88; 0; 523; 3.0
50; [64, 128, -1]; 61; 0; 110; 1.0
51; [16, 512, 1]; 83; 0; 514; 5.0
52; [16, 128, -1]; 84; 0; 135; 3.0
53; [16, 128, 1]; 51; 0; 125; 3.0
54; [32, 128, 1]; 67; 0; 107; 2.0
55; [64, 128, 1]; 44; 0; 89; 1.0
56; [32, 512, -1]; 71; 0; 497; 4.0
57; [16, 512, -1]; 111; 0; 511; 5.0
58; [32, 128, -1]; 70; 0; 144; 2.0
59; [32, 512, 1]; 78; 0; 488; 4.0
60; [64, 512, -1]; 71; 0; 540; 3.0
61; [64, 128, 1]; 58; 0; 172; 1.0
62; [64, 512, -1]; 68; 0; 490; 3.0
63; [16, 128, 1]; 67; 0; 120; 3.0
64; [16, 128, -1]; 102; 1; 136; 3.0
65; [32, 128, -1]; 64; 0; 137; 2.0
66; [16, 512, 1]; 97; 0; 499; 5.0
67; [64, 512, 1]; 78; 0; 475; 3.0
68; [64, 128, -1]; 57; 0; 114; 1.0
69; [32, 512, 1]; 172; 0; 505; 4.0
70; [16, 512, -1]; 104; 0; 524; 5.0
71; [32, 512, -1]; 85; 0; 508; 4.0
72; [32, 128, 1]; 61; 0; 129; 2.0
73; [64, 512, 1]; 60; 0; 507; 3.0
74; [64, 128, 1]; 67; 0; 106; 1.0
75; [32, 512, 1]; 83; 0; 523; 4.0
76; [32, 512, -1]; 81; 0; 524; 4.0
77; [16, 128, 1]; 80; 0; 123; 3.0
78; [16, 512, -1]; 104; 0; 515; 5.0
79; [64, 128, -1]; 61; 0; 123; 1.0
80; [64, 512, -1]; 64; 0; 537; 3.0
81; [16, 128, -1]; 84; 0; 147; 3.0
82; [16, 512, 1]; 139; 0; 507; 5.0
83; [32, 128, -1]; 61; 0; 129; 2.0
84; [32, 128, 1]; 51; 0; 125; 2.0
85; [64, 512, 1]; 68; 0; 511; 3.0
86; [16, 512, -1]; 87; 0; 523; 5.0
87; [16, 128, 1]; 63; 0; 138; 3.0
88; [32, 128, -1]; 51; 0; 131; 2.0
89; [16, 128, -1]; 78; 0; 158; 3.0
90; [32, 512, 1]; 84; 0; 512; 4.0
91; [16, 512, 1]; 101; 0; 506; 5.0
92; [32, 512, -1]; 73; 0; 543; 4.0
93; [32, 128, 1]; 47; 0; 132; 2.0
94; [64, 128, -1]; 57; 0; 148; 1.0
95; [64, 512, -1]; 57; 0; 520; 3.0
96; [64, 128, 1]; 47; 0; 161; 1.0
97; [64, 128, 1]; 43; 0; 138; 1.0
98; [32, 512, -1]; 81; 0; 501; 4.0
99; [32, 128, -1]; 67; 0; 122; 2.0
100; [16, 512, 1]; 94; 0; 510; 5.0
101; [16, 512, -1]; 101; 0; 519; 5.0
102; [64, 128, -1]; 61; 0; 117; 1.0
103; [64, 512, -1]; 81; 0; 523; 3.0
104; [32, 512, 1]; 91; 0; 523; 4.0
105; [16, 128, -1]; 68; 0; 151; 3.0
106; [16, 128, 1]; 67; 0; 121; 3.0
107; [32, 128, 1]; 57; 0; 103; 2.0
108; [64, 512, 1]; 71; 0; 504; 3.0
109; [64, 512, 1]; 70; 0; 514; 3.0
110; [64, 512, -1]; 67; 0; 557; 3.0
111; [32, 512, 1]; 70; 0; 502; 4.0
112; [16, 128, -1]; 84; 0; 144; 3.0
113; [16, 128, 1]; 74; 0; 119; 3.0
114; [32, 128, -1]; 64; 0; 127; 2.0
115; [32, 512, -1]; 81; 0; 530; 4.0
116; [16, 512, 1]; 78; 0; 511; 5.0
117; [16, 512, -1]; 95; 0; 515; 5.0
118; [32, 128, 1]; 60; 0; 133; 2.0
119; [64, 128, -1]; 44; 0; 134; 1.0
120; [64, 128, 1]; 44; 0; 109; 1.0
