Trial Num; Current Trial; Time Spent on Trial (ms); # of MisClicks; Mouse Movement (pix); Difficulty Index (bits)
1; [64, 512, 1]; 74; 0; 381; 3.0
2; [32, 512, -1]; 74; 0; 678; 4.0
3; [32, 128, -1]; 61; 0; 278; 2.0
4; [16, 512, 1]; 71; 0; 400; 5.0
5; [16, 128, -1]; 68; 0; 281; 3.0
6; [64, 128, -1]; 47; 0; 281; 1.0
7; [64, 128, 1]; 44; 0; 30; 1.0
8; [32, 512, 1]; 80; 0; 389; 4.0
9; [16, 512, -1]; 88; 0; 678; 5.0
10; [16, 128, 1]; 60; 0; 23; 3.0
11; [32, 128, 1]; 51; 0; 34; 2.0
12; [64, 512, -1]; 64; 0; 662; 3.0
13; [64, 128, -1]; 50; 0; 250; 1.0
14; [32, 512, 1]; 60; 0; 415; 4.0
15; [16, 128, -1]; 60; 0; 292; 3.0
16; [16, 128, 1]; 70; 0; 41; 3.0
17; [32, 128, -1]; 47; 0; 270; 2.0
18; [32, 512, -1]; 70; 0; 676; 4.0
19; [16, 512, -1]; 84; 0; 664; 5.0
20; [16, 512, 1]; 111; 1; 405; 5.0
21; [32, 128, 1]; 64; 0; 46; 2.0
22; [64, 512, -1]; 71; 0; 632; 3.0
23; [64, 128, 1]; 47; 0; 56; 1.0
24; [64, 512, 1]; 61; 0; 380; 3.0
25; [64, 512, 1]; 80; 0; 371; 3.0
26; [64, 128, -1]; 48; 0; 276; 1.0
27; [16, 128, 1]; 81; 0; 31; 3.0
28; [16, 512, -1]; 84; 0; 675; 5.0
29; [16, 128, -1]; 77; 0; 282; 3.0
30; [32, 128, 1]; 54; 0; 29; 2.0
31; [64, 128, 1]; 47; 0; 16; 1.0
32; [32, 512, -1]; 82; 0; 669; 4.0
33; [16, 512, 1]; 81; 0; 409; 5.0
34; [32, 128, -1]; 43; 0; 272; 2.0
35; [32, 512, 1]; 84; 0; 400; 4.0
36; [64, 512, -1]; 68; 0; 639; 3.0
37; [32, 512, 1]; 77; 0; 404; 4.0
38; [16, 128, 1]; 88; 0; 23; 3.0
39; [16, 128, -1]; 63; 0; 284; 3.0
40; [32, 128, -1]; 61; 0; 271; 2.0
41; [64, 128, -1]; 44; 0; 293; 1.0
42; [64, 512, -1]; 61; 0; 667; 3.0
43; [32, 128, 1]; 48; 0; 33; 2.0
44; [32, 512, -1]; 71; 0; 665; 4.0
45; [16, 512, -1]; 87; 0; 670; 5.0
46; [16, 512, 1]; 111; 1; 394; 5.0
47; [64, 128, 1]; 50; 0; 94; 1.0
48; [64, 512, 1]; 78; 0; 418; 3.0
